Date,Consumption
06/04/2025 17:15:00,26.401
06/04/2025 17:00:00,26.358
06/04/2025 16:45:00,26.065
06/04/2025 16:30:00,25.991
06/04/2025 16:15:00,25.822
06/04/2025 16:00:00,26.118
06/04/2025 15:45:00,26.604
06/04/2025 15:30:00,26.658
06/04/2025 15:15:00,26.833
06/04/2025 15:00:00,27.190
06/04/2025 14:45:00,27.406
06/04/2025 14:30:00,27.468
06/04/2025 14:15:00,27.667
06/04/2025 14:00:00,27.930
06/04/2025 13:45:00,28.228
06/04/2025 13:30:00,28.498
06/04/2025 13:15:00,29.000
06/04/2025 13:00:00,29.473
06/04/2025 12:45:00,30.070
06/04/2025 12:30:00,30.312
06/04/2025 12:15:00,30.305
06/04/2025 12:00:00,30.300
06/04/2025 11:45:00,30.160
06/04/2025 11:30:00,30.340
06/04/2025 11:15:00,30.000
06/04/2025 11:00:00,29.858
06/04/2025 10:45:00,29.986
06/04/2025 10:30:00,29.814
06/04/2025 10:15:00,29.654
06/04/2025 10:00:00,29.900
06/04/2025 09:45:00,29.453
06/04/2025 09:30:00,28.922
06/04/2025 09:15:00,28.920
06/04/2025 09:00:00,28.701
06/04/2025 08:45:00,27.623
06/04/2025 08:30:00,27.144
06/04/2025 08:15:00,26.653
06/04/2025 08:00:00,25.932
06/04/2025 07:45:00,25.113
06/04/2025 07:30:00,24.388
06/04/2025 07:15:00,23.969
06/04/2025 07:00:00,23.336
06/04/2025 06:45:00,23.151
06/04/2025 06:30:00,23.237
06/04/2025 06:15:00,23.270
06/04/2025 06:00:00,22.904
06/04/2025 05:45:00,22.514
06/04/2025 05:30:00,22.348
06/04/2025 05:15:00,22.339
06/04/2025 05:00:00,22.035
06/04/2025 04:45:00,21.692
06/04/2025 04:30:00,21.860
06/04/2025 04:15:00,21.746
06/04/2025 04:00:00,21.683
06/04/2025 03:45:00,21.784
06/04/2025 03:30:00,21.905
06/04/2025 03:15:00,21.961
06/04/2025 03:00:00,22.117
06/04/2025 02:45:00,22.006
06/04/2025 02:30:00,22.300
06/04/2025 02:15:00,22.336
06/04/2025 02:00:00,22.660
06/04/2025 01:45:00,22.975
06/04/2025 01:30:00,23.193
06/04/2025 01:15:00,23.504
06/04/2025 01:00:00,24.149
06/04/2025 00:45:00,24.257
06/04/2025 00:30:00,24.683
06/04/2025 00:15:00,25.434
06/04/2025 00:00:00,25.879
05/04/2025 23:45:00,26.470
05/04/2025 23:30:00,26.986
05/04/2025 23:15:00,27.534
05/04/2025 23:00:00,28.304
05/04/2025 22:45:00,28.775
05/04/2025 22:30:00,29.284
05/04/2025 22:15:00,29.833
05/04/2025 22:00:00,30.456
05/04/2025 21:45:00,30.934
05/04/2025 21:30:00,31.625
05/04/2025 21:15:00,31.874
05/04/2025 21:00:00,32.502
05/04/2025 20:45:00,33.499
05/04/2025 20:30:00,33.979
05/04/2025 20:15:00,34.368
05/04/2025 20:00:00,34.561
05/04/2025 19:45:00,34.309
05/04/2025 19:30:00,33.269
05/04/2025 19:15:00,32.206
05/04/2025 19:00:00,31.836
05/04/2025 18:45:00,31.530
05/04/2025 18:30:00,30.800
05/04/2025 18:15:00,30.318
05/04/2025 18:00:00,30.276
05/04/2025 17:45:00,29.490
05/04/2025 17:30:00,29.236
05/04/2025 17:15:00,28.914
05/04/2025 17:00:00,28.787
05/04/2025 16:45:00,28.341
05/04/2025 16:30:00,28.305
05/04/2025 16:15:00,28.312
05/04/2025 16:00:00,28.402
05/04/2025 15:45:00,28.510
05/04/2025 15:30:00,28.657
05/04/2025 15:15:00,28.891
05/04/2025 15:00:00,29.279
05/04/2025 14:45:00,29.504
05/04/2025 14:30:00,29.781
05/04/2025 14:15:00,30.086
05/04/2025 14:00:00,30.398
05/04/2025 13:45:00,30.774
05/04/2025 13:30:00,30.977
05/04/2025 13:15:00,31.408
05/04/2025 13:00:00,31.701
05/04/2025 12:45:00,32.130
05/04/2025 12:30:00,32.148
05/04/2025 12:15:00,32.478
05/04/2025 12:00:00,32.642
05/04/2025 11:45:00,32.894
05/04/2025 11:30:00,33.497
05/04/2025 11:15:00,33.854
05/04/2025 11:00:00,33.834
05/04/2025 10:45:00,33.822
05/04/2025 10:30:00,34.332
05/04/2025 10:15:00,34.735
05/04/2025 10:00:00,34.646
05/04/2025 09:45:00,35.054
05/04/2025 09:30:00,35.513
05/04/2025 09:15:00,35.138
05/04/2025 09:00:00,34.894
05/04/2025 08:45:00,34.379
05/04/2025 08:30:00,33.733
05/04/2025 08:15:00,33.130
05/04/2025 08:00:00,32.396
05/04/2025 07:45:00,31.029
05/04/2025 07:30:00,30.154
05/04/2025 07:15:00,29.524
05/04/2025 07:00:00,28.907
05/04/2025 06:45:00,27.943
05/04/2025 06:30:00,27.677
05/04/2025 06:15:00,27.532
05/04/2025 06:00:00,27.078
05/04/2025 05:45:00,25.958
05/04/2025 05:30:00,25.594
05/04/2025 05:15:00,25.328
05/04/2025 05:00:00,25.332
05/04/2025 04:45:00,25.083
05/04/2025 04:30:00,24.782
05/04/2025 04:15:00,24.665
05/04/2025 04:00:00,24.758
05/04/2025 03:45:00,24.602
05/04/2025 03:30:00,24.648
05/04/2025 03:15:00,24.708
05/04/2025 03:00:00,24.757
05/04/2025 02:45:00,24.911
05/04/2025 02:30:00,25.200
05/04/2025 02:15:00,25.401
05/04/2025 02:00:00,25.725
05/04/2025 01:45:00,25.991
05/04/2025 01:30:00,26.313
05/04/2025 01:15:00,26.585
05/04/2025 01:00:00,27.051
05/04/2025 00:45:00,27.608
05/04/2025 00:30:00,28.123
05/04/2025 00:15:00,28.557
05/04/2025 00:00:00,29.102
04/04/2025 23:45:00,29.450
04/04/2025 23:30:00,30.173
04/04/2025 23:15:00,30.848
04/04/2025 23:00:00,31.906
04/04/2025 22:45:00,32.614
04/04/2025 22:30:00,33.410
04/04/2025 22:15:00,34.374
04/04/2025 22:00:00,34.645
04/04/2025 21:45:00,35.443
04/04/2025 21:30:00,36.554
04/04/2025 21:15:00,37.096
04/04/2025 21:00:00,37.898
04/04/2025 20:45:00,38.930
04/04/2025 20:30:00,39.651
04/04/2025 20:15:00,39.804
04/04/2025 20:00:00,40.054
04/04/2025 19:45:00,39.855
04/04/2025 19:30:00,39.107
04/04/2025 19:15:00,38.436
04/04/2025 19:00:00,38.057
04/04/2025 18:45:00,37.715
04/04/2025 18:30:00,37.323
04/04/2025 18:15:00,37.179
04/04/2025 18:00:00,37.005
04/04/2025 17:45:00,36.914
04/04/2025 17:30:00,37.218
04/04/2025 17:15:00,37.562
04/04/2025 17:00:00,37.516
04/04/2025 16:45:00,37.787
04/04/2025 16:30:00,38.215
04/04/2025 16:15:00,38.314
04/04/2025 16:00:00,38.239
04/04/2025 15:45:00,38.289
04/04/2025 15:30:00,38.728
04/04/2025 15:15:00,38.764
04/04/2025 15:00:00,39.132
04/04/2025 14:45:00,39.541
04/04/2025 14:30:00,39.470
04/04/2025 14:15:00,39.660
04/04/2025 14:00:00,39.759
04/04/2025 13:45:00,39.319
04/04/2025 13:30:00,39.612
04/04/2025 13:15:00,39.425
04/04/2025 13:00:00,39.247
04/04/2025 12:45:00,39.483
04/04/2025 12:30:00,39.732
04/04/2025 12:15:00,39.889
04/04/2025 12:00:00,40.662
04/04/2025 11:45:00,42.017
04/04/2025 11:30:00,42.445
04/04/2025 11:15:00,42.607
04/04/2025 11:00:00,43.037
04/04/2025 10:45:00,43.066
04/04/2025 10:30:00,43.432
04/04/2025 10:15:00,43.419
04/04/2025 10:00:00,43.690
04/04/2025 09:45:00,44.196
04/04/2025 09:30:00,44.439
04/04/2025 09:15:00,44.495
04/04/2025 09:00:00,44.509
04/04/2025 08:45:00,43.816
04/04/2025 08:30:00,43.527
04/04/2025 08:15:00,43.113
04/04/2025 08:00:00,41.880
